theme,support_primary,support_any,support_votes,n_documents,unfair_sentences,p_unfair,lift,stratum,alpha_binary,top_categories
ACCEPTABLE_USE,927,1000,3410,50,39,0.039,0.3558,low,0.6802,TER:24;CR:19;LTD:3
ARBITRATION_DISPUTES,857,858,2691,43,89,0.1037,0.9462,low,0.8977,A:43;J:39;LAW:7
COMMUNICATIONS,68,80,360,26,1,0.0125,0.114,low,0.1841,TER:1
DMCA,12,12,182,7,3,0.25,2.2805,mid,0.1041,TER:3;CR:1
ELIGIBILITY_ACCOUNT,804,808,2440,50,35,0.0433,0.3951,low,0.7555,TER:20;CR:10;CH:8
FEEDBACK,38,38,124,20,0,0.0,0.0,low,0.1252,
FEES_PAYMENT,1043,1075,3344,40,61,0.0567,0.5176,low,0.864,CH:33;TER:14;LTD:12
GOVERNING_LAW,167,168,611,47,89,0.5298,4.8325,high,0.632,LAW:64;J:30;A:1
LICENSE_IP,1179,1216,3743,50,40,0.0329,0.3001,low,0.7718,TER:24;CR:8;CH:5
LIMITATION_LIABILITY,507,613,2067,49,231,0.3768,3.4375,high,0.7275,LTD:229;TER:3;CH:2
META,123,140,645,46,0,0.0,0.0,low,0.5113,
MISC_BOILERPLATE,522,522,1495,49,5,0.0096,0.0874,low,0.5332,LTD:2;CH:2;TER:1
MODIFICATION_OF_TERMS,361,387,1250,49,189,0.4884,4.455,high,0.8133,CH:134;USE:41;TER:22
PREAMBLE_SCOPE,665,665,2547,50,64,0.0962,0.8779,low,0.6086,USE:59;CH:6;TER:2
PRIVACY_DATA,260,269,1026,43,11,0.0409,0.373,low,0.6197,USE:9;LTD:1;CH:1
PROMOTIONS,10,11,95,3,0,0.0,0.0,low,0.2396,
TERMINATION,373,416,1415,50,179,0.4303,3.9251,high,0.7485,TER:150;CR:36;LTD:21
THIRD_PARTY_SERVICES,434,450,1593,41,28,0.0622,0.5676,low,0.7366,LTD:25;USE:1;CH:1
USER_CONTENT,535,615,2302,46,61,0.0992,0.9048,low,0.5989,CR:45;LTD:17;TER:6
WARRANTY_DISCLAIMER,529,560,1914,49,26,0.0464,0.4235,low,0.7344,LTD:23;CH:3;TER:2
