touche,action,ecran,garde
g o,ouvrir module gold,projet,isEditable
o,ouvrir doc focalise,cockpit,-
s / l,stats / liste,cockpit,-
[ / ],doc precedent / suivant,atelier,-
n / p,conflit suivant / precedent,atelier,-
j / k,bloc accord suivant / precedent,atelier,-
1..9,adopter k-ieme vote,atelier,isEditable
Espace/Entree,adopter majoritaire pondere,atelier,isEditable
u,annuler,atelier,-
c,compare N-way,atelier,-
f,mode focus tunnel,atelier,-
e,peek evidence,atelier,-
Echap,fermer overlay (hierarchique),transverse,-
?,aide raccourcis,transverse,-
