id,acteur,besoin,critere_acceptation,priorite,lot
US-01,Annotateur,"Voir la liste des documents de la campagne avec une seule ligne par document (INV-DOC-UNIQUE), sans duplication par annotateur","Quand j'ouvre la campagne, chaque document du corpus apparaît exactement une fois ; un document assigné à 3 annotateurs ne génère pas 3 lignes (GET /projects/{slug}/documents?mine=1, 1 ligne/document).",P0,Lot1-Documents
US-02,Annotateur,"Voir sur chaque ligne de document l'état de MA session (statut, mon certitude, mon avancement)","Chaque ligne expose mySession (statut parmi unstarted/in_progress/submitted, annotationId si elle existe) ; aucune session d'un collègue n'est affichée pour un annotateur non-privilégié.",P0,Lot1-Documents
US-03,Annotateur,"Ouvrir MA session d'annotation sur un document depuis la liste ou le DocumentSwitcher","Le clic ouvre toujours createAnnotation({project,document}) qui résout l'Annotation où annotator==moi ; je n'ouvre jamais la session d'un autre annotateur (résolution par document + me.id).",P0,Lot1-Documents
US-04,Annotateur,"Annoter seul mon document : poser/éditer/supprimer mes clauses, fixer thème et certitude","Toutes les écritures (clause, statut, certitude) passent par IsAnnotationOwner ; seul le propriétaire de l'Annotation peut écrire ; une tentative d'écriture sur la session d'autrui renvoie 403.",P0,Lot2-Session
US-05,Annotateur,"Reprendre ma session là où je l'ai laissée sans perte de travail (autosave)","À la réouverture, mes clauses et mon statut sont restaurés ; l'indicateur d'autosave expose role=status / aria-live=polite et annonce pose/undo/redo aux lecteurs d'écran.",P1,Lot2-Session
US-06,Annotateur,"Soumettre ma session quand je l'estime terminée","La transition de statut vers submitted est gardée par un gate (clauses présentes/validées selon la règle) ; après soumission ma session reste consultable et devient éligible au calcul de concordance.",P0,Lot2-Session
US-07,Annotateur,"Distinguer visuellement MA session (éditable) d'une vue en lecture seule et d'une aide de collaboration","Trois grammaires visuelles distinctes : 'Ma session' (accent, éditable), 'Lecture seule' (warning), 'Collaboration' (aide) ; une source non humaine affiche un bandeau lecture seule et n'écrit jamais dans ma session.",P0,Lot4-Frontiere
US-08,Annotateur,"Comparer ma session avec une pré-annotation/un jugement LLM sans que cela n'altère mes clauses","La comparaison et les fantômes LLM sont des aides visuelles (INV-COLLAB) ; adopter une suggestion LLM exige une action explicite côté MA session ; aucune pré-annotation n'est comptée comme référence dans MA soumission ni MON export.",P0,Lot4-Frontiere
US-09,Annotateur,"Commenter une session (la mienne ou, en supervision, celle suivie) sans modifier le contenu annoté","Les commentaires (collaboration) sont rattachés à l'Annotation et n'entrent jamais dans la référence/export ; je ne vois que les commentaires des sessions de projets dont je suis membre (CommentViewSet isolé par appartenance projet).",P1,Lot4-Frontiere
US-10,Annotateur,"Comparer plusieurs juges LLM entre eux (comparaison N-way) distinctement de la comparaison ma-session-vs-modèle","Deux entrées clairement nommées : 'Comparer les modèles entre eux' (N-way) et 'Comparer ma session au modèle' ; aucune des deux ne modifie draftClauses ni la session d'un autre utilisateur.",P2,Lot4-Frontiere
US-11,Annotateur,"Voir la présence/collaboration en temps réel sans que cela ne pollue ma session","La présence et l'invitation sont regroupées dans l'espace Collaboration ; un point d'entrée Collaboration reste cohérent même quand le flag présence temps réel est désactivé.",P2,Lot4-Frontiere
US-12,Lead/Admin,"Superviser l'avancement par annotateur sur la campagne","GET annotators-progress (IsAdminRole) renvoie par annotateur myAssigned/myDone dérivés du statut de l'Annotation (source de vérité unique) ; pas de N+1 par ligne.",P0,Lot3-Supervision
US-13,Lead/Admin,"Consulter la matrice document × annotateur avec le statut de chaque cellule","GET /projects/{slug}/documents (sans mine) expose pour chaque document sessions[] (statut par annotateur) + sessionsSummary (assigned/started/submitted) ; la liste reste 1 ligne/document.",P0,Lot3-Supervision
US-14,Lead/Admin,"Ouvrir la session d'un autre annotateur en LECTURE SEULE pour la superviser","L'accès supervision passe par un lien explicite 'œil' ; l'admin LIT le contenu (clauses, certitude) mais tout PATCH/écriture de clause sur une session dont il n'est pas propriétaire est refusé (intégrité de la concordance).",P0,Lot3-Supervision
US-15,Lead/Admin,"Calculer la concordance inter-annotateurs (IAA) sur les sessions soumises d'un même document","L'IAA (Cohen κ pairwise) ne porte que sur les sessions soumises de ≥2 annotateurs ; pour N≥3, per_theme/boundary sont la moyenne des κ par paire (pas de double-comptage) ; les sessions source=llm ne sont pas mélangées aux sessions humaines.",P0,Lot3-Supervision
US-16,Lead/Admin,"Exporter les annotations en restreignant le périmètre à certains annotateurs","run_export accepte scope.annotators ; l'artefact ne contient que les sessions des annotateurs sélectionnés et chaque enregistrement porte l'attribution (annotator/annotatorId).",P0,Lot5-Exports
US-17,Lead/Admin,"Obtenir un export fidèle distinguant une clause humaine validée d'un seed LLM","build_snapshot enrichi expose source, validated, order, updated_at par clause ; l'export marque/exclut les annotations source=preannotation_seed non retravaillées.",P0,Lot5-Exports
US-18,Lead/Admin,"Être averti quand un format d'export n'est pas réellement produit (pas de repli silencieux)","Le manifeste trace format_requested + format_effective + warnings ; un format non implémenté est soit produit, soit signalé (plus d'extension trompeuse) ; les formats md, csv et iaa_matrix sont disponibles.",P0,Lot5-Exports
US-19,Lead/Admin,"Exporter une matrice de concordance (IAA) exploitable pour Cohen/Fleiss","Le format iaa_matrix produit un CSV de concordance (kappa + per_theme + boundary, aligné par document/annotateur) tracé comme artefact d'export.",P1,Lot5-Exports
US-20,Lead/Admin,"Télécharger l'artefact d'export généré depuis l'interface","L'action download (ExportJobViewSet, IsAdminRole) renvoie le fichier (Content-Disposition) confiné à EXPORTS_DIR (anti path-traversal) ; un bouton Télécharger est présent dans l'UI exports.",P0,Lot5-Exports
US-21,Lead/Admin,"Gérer les membres et les assignations de la campagne","assignments/bulk crée les Assignment (mode assignees = n_docs × n_annotateurs, ou overlap=k = k annotateurs/doc), est idempotent (created==0 au 2e appel) et renvoie 403 pour un non-admin.",P1,Lot3-Supervision
US-22,Lead/Admin,"Distinguer dans la supervision une session humaine d'une session seedée LLM","L'UI affiche Annotation.source ; les juges LLM autorisés sont une liste fermée validée à l'import ; une session source=llm est visuellement signalée et exclue des concordances humaines.",P1,Lot3-Supervision
US-23,Lead/Admin,"Naviguer dans des espaces clairement séparés (Corpus, Ma session, Supervision, Collaboration)","La navigation regroupe ces espaces ; la supervision est liée au dashboard ; aucun auto-select arbitraire de session/document pour l'admin dans la TopBar.",P2,Lot3-Supervision
US-24,Système,"Garantir qu'un document n'apparaît qu'une fois par campagne (déduplication par construction)","GET /projects/{slug}/documents renvoie au plus 1 ligne/document (source = corpus.documents) ; dédup défensive dans useProjectDocuments ; test unitaire + e2e anti-doublon (1 doc × 3 annotateurs ⇒ 1 entrée switcher).",P0,Lot1-Documents
US-25,Système,"Isoler les sessions : un annotateur non-privilégié ne lit que SES propres annotations/clauses","Le contenu d'une session (clauses, rationale, certitude) n'est lisible que par son auteur + admin/reviewer ; un annotateur membre ne peut pas lire la session d'un collègue (test pytest de permission).",P0,Lot2-Session
US-26,Système,"Isoler la collaboration (commentaires, activité) par appartenance projet","CommentViewSet et ActivityEventViewSet filtrent get_queryset sur les projets dont l'utilisateur est membre (sauf admin/reviewer) ; pas de fuite globale inter-projets.",P0,Lot4-Frontiere
