theme_a,theme_b,n_disagreements
MISC_BOILERPLATE,PREAMBLE_SCOPE,512
LICENSE_IP,USER_CONTENT,409
ACCEPTABLE_USE,USER_CONTENT,225
DMCA,LICENSE_IP,223
ACCEPTABLE_USE,LICENSE_IP,218
ACCEPTABLE_USE,ELIGIBILITY_ACCOUNT,188
LIMITATION_LIABILITY,WARRANTY_DISCLAIMER,177
LICENSE_IP,PREAMBLE_SCOPE,176
ELIGIBILITY_ACCOUNT,FEES_PAYMENT,173
FEES_PAYMENT,TERMINATION,167
ELIGIBILITY_ACCOUNT,PREAMBLE_SCOPE,140
ACCEPTABLE_USE,PREAMBLE_SCOPE,133
FEES_PAYMENT,PREAMBLE_SCOPE,132
PREAMBLE_SCOPE,WARRANTY_DISCLAIMER,131
ARBITRATION_DISPUTES,GOVERNING_LAW,126
USER_CONTENT,WARRANTY_DISCLAIMER,125
MODIFICATION_OF_TERMS,PREAMBLE_SCOPE,113
COMMUNICATIONS,MISC_BOILERPLATE,113
ELIGIBILITY_ACCOUNT,PRIVACY_DATA,110
META,PREAMBLE_SCOPE,106
LIMITATION_LIABILITY,THIRD_PARTY_SERVICES,103
ACCEPTABLE_USE,MISC_BOILERPLATE,91
ELIGIBILITY_ACCOUNT,USER_CONTENT,88
PRIVACY_DATA,USER_CONTENT,88
THIRD_PARTY_SERVICES,WARRANTY_DISCLAIMER,86
LIMITATION_LIABILITY,USER_CONTENT,84
PREAMBLE_SCOPE,PRIVACY_DATA,77
ELIGIBILITY_ACCOUNT,MISC_BOILERPLATE,75
LICENSE_IP,THIRD_PARTY_SERVICES,70
ELIGIBILITY_ACCOUNT,LICENSE_IP,67
FEES_PAYMENT,PROMOTIONS,66
META,MISC_BOILERPLATE,65
PREAMBLE_SCOPE,USER_CONTENT,65
ACCEPTABLE_USE,WARRANTY_DISCLAIMER,65
MISC_BOILERPLATE,WARRANTY_DISCLAIMER,64
FEEDBACK,USER_CONTENT,64
FEES_PAYMENT,MODIFICATION_OF_TERMS,63
PREAMBLE_SCOPE,THIRD_PARTY_SERVICES,63
COMMUNICATIONS,PRIVACY_DATA,58
LICENSE_IP,MISC_BOILERPLATE,56
