id,dimension,severity,area,title,files,recommendation,confirmed
dup-assignments-source-of-truth,backend-datamodel,blocker,data-model,La duplication vient de la présentation : Assignment (1 ligne/(doc×annotateur)) sert de source pour une liste de DOCUMENTS,backend/claire/projects/views.py:70-76 | backend/claire/projects/models.py:88-112 | backend/claire/projects/serializers.py:55-76,"Ne pas exposer Assignment comme liste de documents. Soit (a) un endpoint `documents` distinct (liste dédupliquée par document, source = corpus.documents) que le sélecteur de workspace consomme ; soit (b) pour l'admin, agréger côté API en une ligne par document avec la liste des assignés/statuts (matrice doc×annotateur). Garder Assignment pour le détail par annotateur uniquement.",True
no-session-vs-collab-distinction,backend-datamodel,major,data-model,Aucune entité/champ ne distingue 'session individuelle' (A) de 'collaboration' (B),backend/claire/annotations/models.py:35-76 | backend/claire/collaboration/models.py:1-121,"Rendre la frontière explicite : soit un champ `mode`/`workspace_kind` sur Annotation, soit un invariant documenté 'Annotation = session privée d'un annotateur ; toute mise en commun passe par collaboration.* (Comment/Review) ou par des vues d'agrégation read-only'. À défaut d'un nouveau champ, formaliser l'invariant et l'appliquer dans les serializers/permissions pour qu'une session individuelle ne soit jamais éditable/altérable via le flux collaboration.",True
missing-doc-annotator-matrix-entity,backend-datamodel,major,data-model,Pas d'entité/vue 'matrice document × annotateur' pour la supervision — recalculs ad hoc et N+1,backend/claire/projects/views.py:199-225 | backend/claire/projects/serializers.py:72-76,"Introduire une vue/serializer 'matrice' unique (par document : liste des annotateurs assignés + statut de leur Annotation, dérivé en une requête annotée) consommée par la page campagne et la supervision admin. Évite la duplication d'affichage ET les recalculs ; donne à l'admin la vue doc×annotateur sans dupliquer les documents.",True
assignment-status-not-synced,backend-datamodel,major,data-model,Assignment.status et Annotation.status sont deux sources de vérité non synchronisées,backend/claire/projects/models.py:99-102 | backend/claire/annotations/models.py:46-49 | backend/claire/annotations/services.py:99-130,"Choisir une source de vérité unique pour l'avancement : soit dériver l'état d'une cellule du statut de l'Annotation (et déprécier/recalculer Assignment.status), soit synchroniser Assignment.status dans transition_status. Documenter que l'avancement = statut Annotation, Assignment ne portant que l'allocation (qui doit annoter quoi).",False
annotation-id-derived-per-row,backend-datamodel,minor,perf,"Lien Assignment→Annotation recalculé ligne par ligne (couplage implicite, N+1)",backend/claire/projects/serializers.py:72-76,"Précharger le lien via une annotation de queryset (Subquery / prefetch sur (document, annotator)) dans la vue assignments, ou exposer le lien dans la vue matrice. Ne pas ajouter de FK Assignment→Annotation (Annotation peut exister sans Assignment et vice-versa) mais documenter la clé de jointure (project, document, user).",
annotation-without-assignment-allowed,backend-datamodel,minor,data-model,Une Annotation peut être créée sans Assignment correspondant — pas d'invariant d'allocation,backend/claire/annotations/views.py:112-143 | backend/claire/projects/models.py:88-98,"Décider la règle métier : soit autoriser explicitement l'auto-allocation (documenter que l'Assignment n'est qu'indicatif), soit exiger un Assignment préalable à la création d'Annotation. Dans tous les cas, exposer dans la matrice les Annotations 'orphelines' (sans Assignment) pour que l'admin garde une vision exacte de l'avancement.",
preclause-theme-code-not-fk,backend-datamodel,minor,data-model,"PreClause.theme_code est une chaîne libre, non reliée au scheme (FK)",backend/claire/imports/models.py:45-59 | backend/claire/schemes/models.py:25-45,"Conserver le stockage brut (raison append-only) mais valider/mapper explicitement theme_code→Theme au moment de seed_annotation_from_preannotation (rejeter ou marquer les codes inconnus), et exposer le champ `mapped` (imports/models.py:30) pour tracer les pré-annotations non mappables. Évite de seeder des Clause incohérentes avec le scheme.",
comment-review-no-project-fk,backend-datamodel,info,data-model,Comment/Review n'ont pas de FK projet direct — l'isolation passe par Annotation,backend/claire/collaboration/models.py:14-76 | backend/claire/annotations/views.py:291-305,"Acceptable tel quel pour la séparation A/B (la collaboration est bien rattachée à la session via l'Annotation). Si des vues projet-larges de collaboration émergent, ajouter un index/jointure documentée annotation__project plutôt qu'une FK redondante.",
assignments-admin-returns-all,backend-api-perms,major,backend,GET /projects/{slug}/assignments renvoie n_docs × n_annotateurs lignes pour un admin (source du bug de duplication),backend/claire/projects/views.py:70-76 | backend/claire/projects/serializers.py:55-76,"Distinguer deux besoins : (1) une vue « documents distincts du projet » pour le sélecteur de workspace et la page campagne (voir finding no-distinct-documents-endpoint) ; (2) garder l'endpoint assignments brut pour la matrice d'affectation admin, mais documenter qu'il est 1 ligne/Assignment et ne PAS l'utiliser comme source de la liste de documents. Optionnellement ajouter ?group_by=document ou ?distinct=1 renvoyant 1 ligne/document avec les annotateurs imbriqués.",True
no-distinct-documents-endpoint,backend-api-perms,major,backend,Aucun endpoint « documents distincts d'un projet » orienté workspace,backend/claire/projects/views.py:47-76 | backend/claire/corpora/views.py:24-32 | backend/claire/projects/views.py:322-386,"Ajouter GET /projects/{slug}/documents renvoyant les documents distincts du corpus avec, par document, l'état des sessions de l'utilisateur courant (mon annotation : statut/annotationId) et, pour l'admin, l'agrégat des annotateurs (nb assignés, nb soumis). C'est la brique manquante pour séparer proprement « liste de documents » (A) de « sessions » et « affectations ».",True
