theme_a,theme_b,n_votes
LICENSE_IP,USER_CONTENT,468
ACCEPTABLE_USE,LICENSE_IP,379
ACCEPTABLE_USE,USER_CONTENT,357
LIMITATION_LIABILITY,WARRANTY_DISCLAIMER,283
LIMITATION_LIABILITY,THIRD_PARTY_SERVICES,238
ACCEPTABLE_USE,ELIGIBILITY_ACCOUNT,211
FEES_PAYMENT,TERMINATION,148
LIMITATION_LIABILITY,USER_CONTENT,120
DMCA,LICENSE_IP,109
FEES_PAYMENT,MODIFICATION_OF_TERMS,102
ARBITRATION_DISPUTES,META,88
THIRD_PARTY_SERVICES,WARRANTY_DISCLAIMER,85
ARBITRATION_DISPUTES,GOVERNING_LAW,84
ELIGIBILITY_ACCOUNT,PRIVACY_DATA,83
ELIGIBILITY_ACCOUNT,FEES_PAYMENT,82
ELIGIBILITY_ACCOUNT,THIRD_PARTY_SERVICES,80
FEES_PAYMENT,THIRD_PARTY_SERVICES,78
MODIFICATION_OF_TERMS,TERMINATION,67
USER_CONTENT,WARRANTY_DISCLAIMER,66
FEES_PAYMENT,LIMITATION_LIABILITY,64
ARBITRATION_DISPUTES,FEES_PAYMENT,64
ACCEPTABLE_USE,PREAMBLE_SCOPE,59
ACCEPTABLE_USE,TERMINATION,59
ARBITRATION_DISPUTES,LICENSE_IP,58
META,PREAMBLE_SCOPE,58
FEES_PAYMENT,LICENSE_IP,57
LICENSE_IP,TERMINATION,57
FEES_PAYMENT,PREAMBLE_SCOPE,54
ACCEPTABLE_USE,FEES_PAYMENT,54
LICENSE_IP,THIRD_PARTY_SERVICES,54
ACCEPTABLE_USE,PRIVACY_DATA,51
ELIGIBILITY_ACCOUNT,TERMINATION,49
FEES_PAYMENT,PROMOTIONS,46
PRIVACY_DATA,USER_CONTENT,44
ELIGIBILITY_ACCOUNT,USER_CONTENT,42
COMMUNICATIONS,PRIVACY_DATA,40
FEES_PAYMENT,META,39
TERMINATION,USER_CONTENT,37
ELIGIBILITY_ACCOUNT,LIMITATION_LIABILITY,36
PREAMBLE_SCOPE,USER_CONTENT,33
