id,en_tant_que,je_veux,afin_de,priorite,feature,critere_acceptation
US-A1,annotateur,voir les frontières de Claude et Codex en même temps,comparer les découpages d'un coup d'œil,must,A,"réglette affiche 1 piste/modèle alignée aux phrases"
US-A2,annotateur,masquer/afficher la réglette et chaque modèle,garder l'écran lisible,must,A,"toggles persistants par session"
US-A3,annotateur,afficher la catégorie par segment de modèle,repérer les zones thématiques,should,A,"teinte/abréviation togglable, AA"
US-A4,annotateur,survoler un segment de modèle,voir modèle+catégorie+plage,should,A,"tooltip <150ms, clavier-accessible"
US-A5,annotateur,cliquer une frontière de modèle,centrer la phrase correspondante,could,A,"scroll + focus phrase"
US-A6,lead,ajouter Mistral comme 3e piste,étendre la comparaison,should,A,"aucune refonte UI, piste auto"
US-B1,annotateur,annoter une seule phrase,corriger un cas précis,must,B,"seule la phrase change"
US-B2,annotateur,annoter une plage en un geste,étiqueter vite une zone homogène,must,B,"glisser/Maj-clic → thème sur toutes"
US-B3,annotateur,surcharger une phrase d'un bloc,gérer l'exception,must,B,"la phrase se détache, le bloc se scinde visuellement"
US-B4,annotateur,étendre/réduire un bloc par ses bords,ajuster sans tout refaire,should,B,"poignées de bord ou re-sélection"
US-B5,annotateur,fusionner deux blocs adjacents de même thème,nettoyer le découpage,should,B,"fusion auto si contigus + même thème"
US-B6,annotateur,désannoter une phrase ou un bloc,revenir en arrière,must,B,"toggle même thème = retire"
US-B7,chercheur,garder un stockage par phrase,calculer un IAA juste,must,B,"clauses par phrase, κ par phrase"
US-B8,annotateur,partir d'un modèle puis ajuster,gagner du temps tout en gardant la main,should,B,"prefill déplié par phrase, éditable"
US-B9,annotateur,annuler/refaire mes regroupements,explorer sans risque,should,B,"undo/redo couvre bloc et phrase"
