document,population,n_sentences,n_clauses,n_unfair_sentences,unfair_rate,median_tokens,n_themes_used,dominant_theme,cat_A,cat_CH,cat_CR,cat_J,cat_LAW,cat_LTD,cat_TER,cat_USE
9gag,designSet,139,48,22,0.1583,29,14,LICENSE_IP,0,6,2,0,1,7,7,2
Academia,designSet,193,37,17,0.0881,30,15,ARBITRATION_DISPUTES,2,2,1,1,1,2,8,2
Airbnb,designSet,391,119,25,0.0639,31,18,ELIGIBILITY_ACCOUNT,3,3,6,3,3,3,7,2
Amazon,designSet,132,44,10,0.0758,24.0,16,LICENSE_IP,1,1,3,0,1,2,2,2
Atlas,designSet,60,24,13,0.2167,25.0,14,USER_CONTENT,0,2,2,1,1,3,2,2
Betterpoints_UK,designSet,113,54,23,0.2035,26,16,THIRD_PARTY_SERVICES,0,5,1,1,1,8,7,3
Booking,designSet,128,48,10,0.0781,33.0,14,FEES_PAYMENT,0,1,2,1,2,4,0,1
Crowdtangle,designSet,78,31,13,0.1667,31.5,16,ELIGIBILITY_ACCOUNT,0,2,1,1,1,4,2,2
Deliveroo,designSet,143,48,22,0.1538,23,17,PREAMBLE_SCOPE,0,6,4,2,2,5,5,2
Dropbox,designSet,121,26,18,0.1488,22,15,ARBITRATION_DISPUTES,1,3,1,3,1,4,5,2
Duolingo,designSet,140,38,19,0.1357,33.0,16,LICENSE_IP,1,4,0,1,1,6,4,3
Endomondo,designSet,498,136,36,0.0723,25.0,19,ACCEPTABLE_USE,1,11,3,1,3,10,9,4
Evernote,designSet,236,57,27,0.1144,31.5,16,ARBITRATION_DISPUTES,1,4,1,6,3,7,1,4
Facebook,designSet,146,49,13,0.089,23.0,17,PREAMBLE_SCOPE,0,0,2,1,1,3,2,4
Fitbit,designSet,158,58,17,0.1076,25.0,19,WARRANTY_DISCLAIMER,2,2,3,1,1,3,6,1
Google,designSet,93,45,13,0.1398,20,17,PREAMBLE_SCOPE,0,3,0,1,1,3,3,2
Headspace,holdout,372,82,35,0.0941,25.0,17,FEES_PAYMENT,2,4,1,3,1,15,7,3
Instagram,designSet,158,55,24,0.1519,27.0,16,ARBITRATION_DISPUTES,2,3,3,1,1,10,3,2
LindenLab,holdout,344,45,44,0.1279,33.0,16,LICENSE_IP,1,3,6,3,2,17,15,2
LinkedIn,holdout,194,32,24,0.1237,20.0,15,ACCEPTABLE_USE,0,6,1,3,3,6,5,3
Masquerade,designSet,130,37,16,0.1231,31.0,16,ARBITRATION_DISPUTES,3,2,1,1,1,4,3,2
Microsoft,designSet,548,134,30,0.0547,22.0,18,FEES_PAYMENT,1,5,5,1,0,7,7,5
Moves-app,designSet,75,19,13,0.1733,21,13,LICENSE_IP,0,3,0,1,2,5,2,1
Netflix,designSet,86,33,6,0.0698,27.0,11,FEES_PAYMENT,0,3,0,0,1,0,2,0
Nintendo,holdout,188,48,11,0.0585,24.0,16,FEES_PAYMENT,0,3,2,0,2,2,3,0
Oculus,holdout,240,49,28,0.1167,27.0,18,FEES_PAYMENT,1,4,2,2,4,9,5,2
Onavo,designSet,147,39,15,0.102,28,15,ARBITRATION_DISPUTES,2,2,1,1,1,3,5,2
PokemonGo,holdout,212,54,28,0.1321,28.5,18,ACCEPTABLE_USE,2,6,6,1,2,6,7,2
Rovio,designSet,99,31,13,0.1313,27,16,LICENSE_IP,2,2,1,0,1,4,0,4
Skype,holdout,455,91,57,0.1253,25,15,FEES_PAYMENT,2,20,3,1,1,20,7,6
Skyscanner,designSet,83,34,13,0.1566,36,15,LICENSE_IP,0,1,1,1,1,5,3,2
Snap,designSet,168,42,17,0.1012,21.0,18,USER_CONTENT,0,3,2,2,1,3,6,2
Spotify,holdout,293,55,20,0.0683,27,18,FEES_PAYMENT,1,5,4,3,3,5,4,2
Supercell,designSet,141,37,29,0.2057,30,17,ACCEPTABLE_USE,0,3,7,2,2,5,8,2
Syncme,designSet,115,26,16,0.1391,31,15,PRIVACY_DATA,1,1,3,0,1,6,5,2
Tinder,holdout,195,46,29,0.1487,26,15,LICENSE_IP,1,5,4,1,2,9,6,4
TripAdvisor,holdout,200,51,20,0.1,28.0,16,LICENSE_IP,0,3,3,2,1,7,4,3
TrueCaller,designSet,98,31,21,0.2143,26.5,16,USER_CONTENT,0,3,1,1,1,8,4,3
Twitter,holdout,80,36,18,0.225,26.0,14,USER_CONTENT,0,7,3,0,0,4,3,3
Uber,designSet,118,39,14,0.1186,33.0,17,FEES_PAYMENT,1,2,1,0,1,6,1,2
Viber,designSet,200,45,21,0.105,28.0,17,FEES_PAYMENT,2,4,4,0,1,7,6,2
Vimeo,designSet,163,34,8,0.0491,19,16,LICENSE_IP,0,1,1,1,1,2,2,1
Vivino,designSet,125,33,19,0.152,32,15,ACCEPTABLE_USE,1,4,2,2,2,8,2,2
WhatsApp,holdout,98,31,15,0.1531,24.5,16,LICENSE_IP,3,2,0,1,1,4,3,2
WorldOfWarcraft,holdout,217,52,18,0.0829,28,14,ACCEPTABLE_USE,0,3,4,0,0,5,6,2
Yahoo,holdout,166,49,21,0.1265,32.0,18,LICENSE_IP,0,4,3,2,1,6,6,3
YouTube,designSet,113,36,19,0.1681,30,13,ACCEPTABLE_USE,0,3,1,2,1,7,5,1
Zynga,holdout,248,62,25,0.1008,26.0,19,ARBITRATION_DISPUTES,1,4,2,2,2,6,6,3
eBay,holdout,260,61,20,0.0769,27.0,18,ARBITRATION_DISPUTES,1,6,1,3,1,2,6,2
musically,holdout,316,46,27,0.0854,30.0,17,LICENSE_IP,2,3,7,1,1,9,9,2
