lot,jalon,livrable,dependances,estimation_jh,critere_validation
L0,J0.1 Durcissement autosave no-retry 401/403,"useAutosave.ts (catch terminal) + autosave.ts (SaveState 'unauthorized')",—,1.0,"TC-38 (0 réessai après 403) et TC-39 (état terminal sur 401) verts ; TC-40 réessai 500 vert ; tsc vert"
L0,J0.2 Régression bug 403 verrouillée,"backend/tests/test_permissions.py (owner 200/204 ; tiers 403/404)",—,0.5,"TC-35/36/37 verts (pytest) ; suite permissions 100% verte"
L1,J1.1 Dérivation pure des blocs,"lib/blocks.ts (deriveBlocks, blockAt) + tests blocks.test.ts","L0",1.0,"TC-01..05/14/15/43 verts ; couverture blocks.ts >= 95% (lignes+branches)"
L1,J1.2 Primitive de lot applyBlockOp,"store/workspace.ts (applyBlockOp annotateRange/extend/shrink/clearBlock)","J1.1",1.0,"TC-06..13/18 verts ; un seul snapshot undo (TC-07) ; une entrée actionLog block.* (TC-08) ; readOnly no-op"
L1,J1.3 Innocuite IAA + perf,"tests d'équivalence bloc==phrases + bench deriveBlocks","J1.1,J1.2",0.5,"TC-17 (B-IAA-1) vert ; TC-44 bench < 5 ms/frappe sur 300 phrases"
L2,J2.1 Gestes souris B,"DocumentPanel.tsx + SelectionToolbar.tsx + SentenceMenu.tsx (S1–S17)","J1.2",2.0,"plage→bloc (TC-30), override→split (TC-31), désannoter bloc (TC-33), extend poignée (TC-34) verts e2e"
L2,J2.2 Gestes clavier B + undo de lot,"raccourcis K1–K13 dans DocumentPanel.tsx","J2.1",1.0,"undo d'une pose de plage en une fois (TC-32) ; équivalents clavier complets (TC-46)"
L2,J2.3 Suite e2e B,"frontend/e2e/block-annotation.spec.ts","J2.1,J2.2",0.5,"block-annotation.spec.ts vert ; readOnly mutations no-op (non-régression store)"
L3,J3.1 Composant ModelBoundaryRail + alignement,"components/workspace/ModelBoundaryRail.tsx + mesure rowMetrics (ResizeObserver)","—",1.5,"2 pistes alignées ; marqueur au seul début de segment (TC-23) ; corps de segment = 1 nœud (perf)"
L3,J3.2 Données + helper segments,"lib/runs.ts segmentsFromRuns + branchement mémos claude/codex","J3.1",0.5,"TC-19 vert ; aucun nouvel endpoint ; aucun recompute LLM supplémentaire (mémos partagés)"
L3,J3.3 Toggles réglette (global + modèle),"store/workspace.ts gutterModels + toggleGutterModel + persistance localStorage","J3.1",1.0,"TC-21 (store) + TC-26 (e2e masquer modèle) ; clic = focusSentence (TC-28) ; piste sans données désactivée (TC-25)"
L4,J4.1 Catégorie optionnelle (teinte + abréviation),"ModelBoundaryRail.tsx (teinte AA) + lib/tokens.ts (abbr) + gutterShowCategory","J3.3",1.0,"TC-20 (abbr déterministe) + TC-24 (teinte+abréviation AA, contraste >= 4.5)"
L4,J4.2 Tooltips + extensibilité N modèles,"ModelBoundaryRail.tsx (tooltip hover+focus) + FIXTURE_PREANNOTATION_MISTRAL (MSW)","J4.1",1.0,"TC-27 (tooltip < 150 ms, focus clavier) ; TC-29 (3e piste Mistral sans modif de layout)"
L5,J5.1 Accessibilité axe + clavier,"e2e/a11y.spec.ts étendu (réglette A + vue B)","J2.3,J3.3,J4.2",1.0,"TC-45/46 : 0 violation critique/sérieuse ; parcours clavier complets verts"
L5,J5.2 Perf ~300 phrases consolidée,"FIXTURE_DOC_LARGE + DOCUMENTS_BY_ID + bench/comptage nœuds","J2.3,J4.2",1.0,"bench deriveBlocks < 5 ms/frappe (TC-44) ; réglette ~(#segments·m) nœuds (assertion comptage)"
L6,J6.1 Mise en production,"déploiement via deploy/deploy-claire.sh (gate + push + build + restart)","J5.1,J5.2",0.5,"sortie '✓ Déploiement OK (health 200)' ; aucun rollback déclenché"
L6,J6.2 Vérification prod + communication,"smoke prod (A & B + autosave session expirée) + message équipe","J6.1",0.5,"health 200 (curl) ; parcours A/B OK ; pas de tempête réseau sur 401/403 ; comm envoyée"
