couche,composant,role_actuel,impact_feature_A,impact_feature_B,risque
frontend,components/workspace/DocumentPanel.tsx,"rendu phrases + rails human/LLM + menus",ELEVE,ELEVE,"complexité, point central"
frontend,lib/runs.ts,"calcul des runs (perSentence / forward-fill)",ELEVE,ELEVE,"logique partagée human/LLM"
frontend,store/workspace.ts,"état local clauses + actions (toggleBoundary…)",MOYEN,ELEVE,"undo/redo, autosave couplés"
frontend,components/workspace/SentenceMenu.tsx,"clic-droit: annoter/désannoter une phrase",FAIBLE,ELEVE,"point d'entrée override phrase"
frontend,components/workspace/SelectionToolbar.tsx,"actions sur sélection multi-phrases/blocs",FAIBLE,ELEVE,"gestes de bloc"
frontend,components/workspace/InspectorPanel.tsx,"édition clause sélectionnée",FAIBLE,MOYEN,"cohérence avec blocs"
frontend,components/workspace/useAutosave.ts,"persistance incrémentale clauses",FAIBLE,MOYEN,"réessai sur 401/403 (tempête)"
frontend,components/workspace/AnnotationWorkspace.tsx,"orchestrateur + isMine/readOnly",FAIBLE,FAIBLE,"identité/lecture seule"
backend,annotations/views.py,"AnnotationViewSet/ClauseViewSet + permissions",FAIBLE,MOYEN,"permissions objet (clause vs annotation)"
backend,imports/models.py,"PreAnnotation/PreClause (LLM, span-based)",ELEVE,FAIBLE,"source des frontières modèles"
backend,imports/loaders.py,"normalisation v9.2/v9.4 segments→pivot",MOYEN,FAIBLE,"format multi-modèles (Mistral)"
backend,projects/iaa.py,"IAA par phrase (κ Cohen)",FAIBLE,MOYEN,"sémantique par phrase"
backend,common/permissions.py,"IsAnnotationOwner (corrigé)",FAIBLE,FAIBLE,"objet clause vs annotation"
