#,aspect,variante,note_sur_10,retenue,forces,faiblesses,effet_usage
01,Layout général & gestion de l'espace (3 panneaux redimensionnables),Plancher de lecture + auxiliaires en drawer overlay,8,,"Protège le cœur de lecture (~70ch) en toute circonstance — la douleur principale (compression du document) disparaît; Le plan repliable rend l'espace des deux côtés ; symétrie d'affordance avec l'inspecteur déjà en place; Changement localisé et peu risqué : overlay/drawer est un pattern connu, la logique de drag existante reste","Un overlay peut masquer une partie du document (à mitiger : drawer étroit + voile léger, ou push avec plancher); Gérer la coexistence de 2-3 drawers (empilement, fermeture) ajoute un peu d'état UI; Ne traite pas l'empilement vertical des bandeaux ni la persistance hybride",L'annotateur garde toujours une colonne de lecture confortable même en consultant commentaires + triage ; il replie le plan en annotation fine pour maximiser le texte. Moins de scroll horizontal et de re-largage manuel des colonnes : charge cognitive et gestes de réglage réduits.
01,Layout général & gestion de l'espace (3 panneaux redimensionnables),Disposition par presets de phase (Focus / Annotation / Arbitrage),7,,"Aligne l'espace sur la PHASE de travail réelle — le bon arbitrage spatial devient un choix d'un clic au lieu d'un réglage manuel; Résout l'incohérence de persistance en remontant le layout au compte (serveur), cohérent multi-poste; Améliore la découvrabilité de l'arbitrage LLM (un preset dédié l'expose) sans saturer l'UI en permanence","Ne garantit pas en soi un plancher de lecture si l'utilisateur ré-élargit manuellement les auxiliaires; Risque de presets mal calibrés s'ils ne sont pas testés sur de vrais documents/écrans; Ajoute un concept ('preset') à apprendre, et de l'état à synchroniser serveur","L'annotateur bascule entre lire, annoter finement et arbitrer en un raccourci, sans re-régler 3 colonnes à la main à chaque transition. Gain de vitesse net sur les changements de tâche fréquents ; moins de friction pour découvrir le mode Compare."
01,Layout général & gestion de l'espace (3 panneaux redimensionnables),Cadre dock unifié : plancher + repli bilatéral + bandeaux fusionnés + persistance compte,9,OUI,"Traite SIMULTANÉMENT toutes les faiblesses (plancher, asymétrie, empilement bandeaux, persistance, hex en dur) — cohérence d'ensemble maximale; Récupère le plus d'espace vertical (bandeaux fusionnés) et horizontal (repli bilatéral) pour le document; Met fin aux deux 'vérités' de persistance et aux couleurs en dur : un seul système, tokens + serveur","Périmètre large : plus de risque de régression et d'effort de QA (drag, replis, overlay, bandeaux, sync serveur); La fusion des bandeaux demande des règles de priorité soignées pour ne jamais cacher l'info verrou critique; Migration de la persistance layout localStorage→serveur à gérer proprement (compat des réglages existants)","L'annotateur dispose d'un espace de lecture toujours protégé, repliable des deux côtés, avec des bandeaux compacts et une disposition retrouvée à l'identique sur n'importe quel poste. Charge cognitive minimale (un seul système d'affichage cohérent), gain d'espace et de vitesse sur toute la session ; moins d'erreurs liées à un bandeau verrou rogné ou un document écrasé."
02,"Panneau Plan / ToC (un bloc par phrase, couverture, validation, sauts)",Plan virtualisé filtrable à liste plate,8,OUI,"Effort modéré, faible risque : on conserve `sentenceIndexes.map` et la sémantique éprouvée du plan, on ajoute virtualisation + un état de filtre local.; Résout d'un coup les deux douleurs majeures (scan fastidieux + coût de rendu) sans changer le modèle mental de l'annotateur.; Le filtre « pré-annoté non validé » attaque directement le piège « j'ai cru avoir fini » signalé dans le flux de données.","Reste une liste plate : sur un très long document, même filtrée, retrouver une zone par contexte sémantique demande de scroller.; La virtualisation complique le `scrollIntoView` de synchro chip→vue (il faut un scrollToIndex de la lib).; N'adresse pas l'asymétrie de repli ni le fieldset Overlays mal placé.","Scan et navigation nettement accélérés : l'annotateur passe d'un défilement de 193 lignes à une liste filtrée de quelques entrées pertinentes ; le scroll redevient fluide. Charge cognitive réduite (il ne voit que ce qu'il cherche), mais la structure du document reste implicite."
02,"Panneau Plan / ToC (un bloc par phrase, couverture, validation, sauts)",Plan en arborescence par sections (runs) avec révélation progressive,7,,"Rend un document de 193 phrases réellement scannable : on raisonne par sections, pas par phrases.; Révélation progressive alignée sur les exigences : moins de bruit permanent sur le chip, détails à la demande.; Le repli auto des sections terminées crée un sentiment de progression tangible et concentre l'attention sur le travail restant.",Plus coûteux : il faut une notion fiable de « section » (les runs de thème ne correspondent pas toujours à des sections logiques du document).; Risque d'imprévisibilité du repli si les frontières de runs bougent à chaque annotation.; Change le modèle mental juste après avoir livré la liste plate — coût de ré-apprentissage pour les annotateurs en cours de campagne.,"Forte baisse de charge cognitive sur gros documents : l'annotateur navigue par intention (« la section données ») au lieu de balayer des phrases ; le repli des sections finies réduit la surface visuelle. Léger surcoût d'apprentissage initial, vite amorti."
02,"Panneau Plan / ToC (un bloc par phrase, couverture, validation, sauts)",Rail repliable + mini-carte de couverture/validation (heatmap),6,,Libère la largeur de lecture en annotation fine tout en gardant un repère de progression permanent (heatmap).; Vue d'ensemble instantanée de l'état du document en un coup d'œil (densité de validation visible globalement).; Corrige l'asymétrie de repli et l'éparpillement des toggles d'affichage en un seul geste.,"Le plus gros chantier des trois : nouveau composant minimap + gestion d'état du repli + déplacement des overlays.; La minimap reste une vue couleur ; sans libellés elle est un complément, pas un substitut au plan détaillé (couleur seule = vigilance AA via tooltips).; Double affordance (rail/déplié) à concevoir et tester pour rester découvrable.","Gain d'espace de lecture immédiat et lecture globale de l'avancement « à la Sublime minimap ». Vitesse de navigation fine un peu moindre en mode replié (il faut survoler), compensée par une vue d'ensemble que la liste n'offre pas."
03,Overlays (injustice / fantômes LLM / traduction) — emplacement & encombrement du <nav>,Disclosure 'Affichage' replié au pied du plan,8,OUI,"Rend immédiatement la hauteur du <nav> au plan (gain net sur long document) sans déplacer le contrôle de place — pas de réapprentissage de localisation; Révélation progressive respectée : détails à la demande, badge 'N actifs' garde la conscience d'état sans déplier; Effort faible : on enveloppe le fieldset existant dans un disclosure, l'a11y native (fieldset/legend/checkbox) est conservée","Ne règle PAS la dispersion : les toggles du document (frontières, source LLM...) restent ailleurs, le 'lieu unique' n'existe toujours pas; Le toggle Traduction continue de dupliquer le LangSwitch du document; Un clic de plus pour atteindre un overlay fréquemment basculé (mitigé par le badge et la mémoire par compte)","Le plan gagne ~5 lignes de hauteur visible en lecture courante ; l'annotateur scanne plus de phrases sans scroller. Le badge 'N actifs' évite la surprise d'un surlignage inexpliqué. Charge cognitive en baisse (pied épuré), 1 clic seulement pour ajuster un overlay rare."
03,Overlays (injustice / fantômes LLM / traduction) — emplacement & encombrement du <nav>,Centre d'affichage unifié (DisplayControls partagé plan ↔ document),7,,"Élimine la dispersion identifiée dans la cartographie : UN seul lieu de réglage d'affichage, accessible des deux côtés; Supprime la duplication Traduction/LangSwitch et clarifie 'où se trouve chaque bascule'; Pied du <nav> totalement libéré ; groupement par sections réduit la charge de recherche","Effort élevé : refonte transverse touchant DocumentPanel (~1530 lignes), risque de régression croisée pendant la migration; Un popover dense peut devenir un mini-mur de toggles s'il n'est pas bien sectionné/priorisé; Déplace des contrôles familiers : courbe de réapprentissage pour les annotateurs habitués à la barre document","L'annotateur cesse de chercher 'où est ce toggle' : un réflexe unique (icône Affichage). Gain de vitesse à moyen terme et forte baisse de charge cognitive, au prix d'une adaptation initiale et d'un chantier plus lourd."
03,Overlays (injustice / fantômes LLM / traduction) — emplacement & encombrement du <nav>,Rail d'icônes d'overlays toujours visible + détails au survol,7,,Empreinte verticale minimale (1 ligne d'icônes) tout en gardant les toggles VISIBLES et basculables en 1 clic — pas de clic d'ouverture; Iconographie subtile qui renforce le sens et accélère la reconnaissance (ghost par juge directement teinté de l'identité du juge); Cohérent avec les survols différés déjà en place (RationaleHover/InjusticeLens) pour révéler les détails à la demande,Une rangée d'icônes peut s'allonger si le nombre de juges croît (scroll horizontal ou wrap à gérer); Icônes seules = découvrabilité moindre pour un novice si les tooltips tardent ou ne sont pas lus (atténué par aria-label); Ne résout pas la dispersion vers la barre document ni la duplication Traduction,"Basculer un overlay reste instantané (1 clic, pas d'ouverture), mais le pied ne prend qu'une ligne : l'annotateur garde plus de plan visible ET un accès immédiat. Les ghosts teintés par juge accélèrent l'association couleur→modèle. Léger coût de découvrabilité pour le tout nouvel annotateur."
04,"Zone Document (phrases, frontières/split, sélection, surlignage des thèmes)",Tokenisation + hiérarchie du bord gauche (assainissement),7,,"Élimine la dette hex en dur et rétablit la bascule clair/sombre + le contraste AA centralisé (readableTextColor) sur tous les états de la zone; Faible risque : aucune interaction modifiée, donc pas de régression sur les flux d'annotation/arbitrage; Clarifie immédiatement la lecture du bord gauche (thème ≠ état) et allège le bruit permanent des badges",Ne répond PAS à la surcharge gestuelle ni à la découvrabilité (le nouvel annotateur reste perdu); Ne consolide pas les 3-4 systèmes de frontière/split qui restent dispersés; Gain surtout esthétique/cohérence : la vitesse d'annotation change peu,"Charge cognitive en lecture réduite (un bord = un sens, des couleurs cohérentes), confort visuel accru en thème clair ; vitesse d'annotation quasi inchangée car les gestes ne bougent pas."
