theme,icone,rationale
PREAMBLE (préambule),FileText,Document fondateur / texte introductif — distingue d'emblée le bloc liminaire des clauses normatives.
GOVERNING_LAW (droit applicable),Scale,Balance de la justice = règle de droit applicable ; désambiguïse le violet de PREAMBLE et THIRD_PARTY par la forme.
ARBITRATION (arbitrage),Gavel,Maillet du juge/arbitre = résolution des litiges ; sépare nettement du magenta voisin (PROMOTIONS/THIRD_PARTY).
THIRD_PARTY (tiers),Users,Plusieurs personnes = parties tierces ; forme humaine qui tranche avec les symboles juridiques de la même famille violette.
PROMOTIONS (promotions),Tag,Étiquette commerciale = offres et promotions ; lève l'ambiguïté avec ARBITRATION malgré le magenta proche.
WARRANTY (garantie),ShieldCheck,Bouclier validé = garantie offerte ; forme positive qui distingue du rouge de LIMITATION (déni).
LIMITATION (limitation de responsabilité),ShieldOff,Bouclier barré = exclusion/limitation ; oppose visuellement à WARRANTY dans la même famille rouge — cas jumeau le plus piégeux résolu par la forme.
DMCA (retrait de contenu),Copyright,Symbole de droit d'auteur = notice et retrait DMCA ; distingue du rouge WARRANTY/LIMITATION.
ACCEPTABLE_USE (usage acceptable),CheckCircle,"Validation = règles d'usage permis ; forme nette qui sépare des deux autres verts (USER_CONTENT, FEES_PAYMENT)."
USER_CONTENT (contenu utilisateur),Upload,Téléversement = contenu publié par l'utilisateur ; tranche avec les autres verts par la métaphore d'action.
FEES_PAYMENT (frais & paiement),CreditCard,Carte = paiement et frais ; lève l'ambiguïté du vert émeraude voisin par une forme financière non équivoque.
PRIVACY (confidentialité),Lock,"Cadenas = protection des données personnelles ; métaphore universelle, lisible même en monochrome dense."
TERMINATION (résiliation),LogOut,Sortie = fin de la relation contractuelle ; geste directionnel reconnaissable au scan.
CHANGES (modifications des conditions),RefreshCw,Cycle = révision/mise à jour des termes ; forme rotative distincte au premier coup d'œil.
LICENSE (licence),KeyRound,Clé = droits d'usage concédés ; métaphore d'accès qui se distingue de PRIVACY (verrou).
LIABILITY (responsabilité),AlertTriangle,Triangle d'alerte = engagement de responsabilité ; signal de vigilance immédiat sans recourir au rouge d'état.
INDEMNITY (indemnisation),HandCoins,Main + pièces = dédommagement ; distingue de FEES_PAYMENT par la notion de réparation.
DATA_SECURITY (sécurité des données),ShieldAlert,Bouclier vigilant = mesures de sécurité ; varie la famille bouclier (vs WARRANTY/LIMITATION) par le glyphe d'alerte.
DISPUTE (litige),MessageSquareWarning,Bulle d'alerte = différend/réclamation ; sépare d'ARBITRATION (résolution) par la phase amont du conflit.
MISCELLANEOUS (divers),MoreHorizontal,"Points de suspension = clauses résiduelles non catégorisées ; neutre et non mémo-coûteux, signale l'absence de catégorie forte."
