theme,A,CH,CR,J,LAW,LTD,TER,USE
ACCEPTABLE_USE,0,1,15,0,0,3,19,0
ARBITRATION_DISPUTES,43,0,0,38,6,1,0,2
COMMUNICATIONS,0,0,0,0,0,0,1,0
DMCA,0,0,1,0,0,0,3,0
ELIGIBILITY_ACCOUNT,0,8,10,0,0,5,20,0
FEEDBACK,0,0,0,0,0,0,0,0
FEES_PAYMENT,0,32,6,0,1,11,13,3
GOVERNING_LAW,1,0,0,30,63,0,0,0
LICENSE_IP,0,5,8,0,0,3,22,2
LIMITATION_LIABILITY,0,2,1,0,0,192,2,0
META,0,0,0,0,0,0,0,0
MISC_BOILERPLATE,0,2,0,0,0,2,1,0
MODIFICATION_OF_TERMS,0,115,6,0,0,7,20,41
PREAMBLE_SCOPE,0,6,0,0,0,0,2,59
PRIVACY_DATA,0,1,0,0,0,1,0,9
PROMOTIONS,0,0,0,0,0,0,0,0
TERMINATION,0,9,27,0,0,16,124,0
THIRD_PARTY_SERVICES,0,1,0,0,0,24,1,1
USER_CONTENT,0,3,43,0,0,14,6,0
WARRANTY_DISCLAIMER,0,3,1,0,0,17,2,0
